"Qty";"Value";"Device";"Package";"Parts";"Description";"BOM";"POPULARITY";"ROT";"SPICEMODEL";"SPICEPREFIXL";
"1";"";"HEADER-1X1070MIL";"1X10_ROUND70";"JP4";"PIN HEADER";"";"";"";"";"";
"1";"";"SOLDERJUMPER";"SOLDERJUMPER_ARROW_NOPASTE";"SJ1";"SMD Solder JUMPER";"EXCLUDE";"";"";"";"";
"2";"0.05Ω/0.25W";"RESISTOR_0603_NOOUT";"0603-NO";"R1, R2";"Resistors";"";"";"";"";"";
"4";"0.22uF/50V";"CAP_CERAMIC0603_NO";"0603-NO";"C3, C5, C7, C8";"Ceramic Capacitors";"";"";"";"";"";
"1";"10K";"R-TRIMM3314J";"RTRIM3314J";"VR1";"Trimm resistor";"";"0";"";"X";"POT";
"2";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"C2, C6";"Ceramic Capacitors";"";"";"";"";"";
"1";"20K";"RESISTOR_0603_NOOUT";"0603-NO";"R3";"Resistors";"";"";"";"";"";
"1";"20K Pack";"RESISTOR_4PACK";"RESPACK_4X0603";"R5";"Resistor Packs (4 resistors)";"";"";"";"";"";
"1";"22nF/50V";"CAP_CERAMIC0603_NO";"0603-NO";"C1";"Ceramic Capacitors";"";"";"";"";"";
"1";"22uF/50V";"CAP_ELECTROLYTICPANASONIC_C";"PANASONIC_C";"C4";"Electrolytic Capacitors";"";"";"";"";"";
"1";"33K";"RESISTOR_0603_NOOUT";"0603-NO";"R4";"Resistors";"";"";"";"";"";
"1";"6-pin 2.54 Terminal";"HEADER-1X6_2.54MMTERM";"1X06_2.54MMTERMINAL";"JP1";"PIN HEADER";"";"";"";"";"";
"2";"FIDUCIAL_0.5MM";"FIDUCIAL_0.5MM";"FIDUCIAL_0.5MM";"U$10, U$11";"Fiducial Alignment Points";"";"";"";"";"";
"1";"GREEN";"LED0603_NOOUTLINE";"CHIPLED_0603_NOOUTLINE";"D3";"LED";"";"";"270";"";"";
"4";"MOUNTINGHOLE2.0";"MOUNTINGHOLE2.0";"MOUNTINGHOLE_2.0_PLATED";"U$18, U$22, U$26, U$27";"Mounting Hole";"EXCLUDE";"";"";"";"";
"1";"RED";"LED0603_NOOUTLINE";"CHIPLED_0603_NOOUTLINE";"D1";"LED";"";"";"270";"";"";
"1";"TMC2209_QFN";"TMC2209_QFN";"QFN28_5MM_MICROCHIP";"X1";"";"";"";"";"";"";
"1";"YELLOW";"LED0603_NOOUTLINE";"CHIPLED_0603_NOOUTLINE";"D2";"LED";"";"";"270";"";"";
